path_token	bundle_name	alias	sealed	note
results/cachyos-vostro1000-rs482-radeon-unified-0.8.11-1-deployment-runtime	cachyos-vostro1000-rs482-radeon-unified-0.8.11-1-deployment-runtime	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/cachyos-vostro1000-rs482-radeon-unified-0.8.8-1-target-kernel-compile	cachyos-vostro1000-rs482-radeon-unified-0.8.8-1-target-kernel-compile	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/cachyos_vostro1000_rs482_radeon_unified_0.7-1_prod_admission_20260807T055048Z	cachyos_vostro1000_rs482_radeon_unified_0.7-1_prod_admission_20260807T055048Z	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-bo-draw-pm4-capture-rs482-20260720	r2vb-bo-draw-pm4-capture-rs482-20260720	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-clip-edge-generation-rs482	r2vb-clip-edge-generation-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-clip-route-acceptance-corpus-rs482	r2vb-clip-route-acceptance-corpus-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-delivery-capture-rs482	r2vb-delivery-capture-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-execution-observability-rs482	r2vb-execution-observability-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-fence-rotation-trace-rs482	r2vb-fence-rotation-trace-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-fresh-clip-copy-rs482	r2vb-fresh-clip-copy-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-fs-const0-transaction-rs482	r2vb-fs-const0-transaction-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-immd-logical-state-rs482-20260720T041309Z	r2vb-immd-logical-state-rs482-20260720T041309Z	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-lane-discriminator-rs482	r2vb-lane-discriminator-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-output-reingest-fix-rs482	r2vb-output-reingest-fix-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-producer-bo-fetch-real-path-preflight-rs482-20260721	r2vb-producer-bo-fetch-real-path-preflight-rs482-20260721	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-producer-submit3-live-cell-rs482-20260722	r2vb-producer-submit3-live-cell-rs482-20260722	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-promotion-acceptance-rs482	r2vb-promotion-acceptance-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-spill1-acceptance-fixed-delivery-rs482	r2vb-spill1-acceptance-fixed-delivery-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-spill1-carry-split-rs482	r2vb-spill1-carry-split-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-split-bypass-gallivm-rs482	r2vb-split-bypass-gallivm-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-split-keepalive-rs482	r2vb-split-keepalive-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r2vb-topology-gather-rs482	r2vb-topology-gather-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-attended-cell-rs482-first-submission	r3v-native-attended-cell-rs482-first-submission	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-float2-tuple-index-pair-loaded-validator-rs482	r3v-native-float2-tuple-index-pair-loaded-validator-rs482	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-float2-tuple-xy01-delivery-rs482	r3v-native-float2-tuple-xy01-delivery-rs482	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-fp24-bisect-ceiling-rs482	r3v-native-fp24-bisect-ceiling-rs482	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-fp24-sweep-top-bin-halving-rs482	r3v-native-fp24-sweep-top-bin-halving-rs482	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-producer-carrier-delivery-rs482	r3v-native-producer-carrier-delivery-rs482	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-profile-qualification-rs482	r3v-native-profile-qualification-rs482	rs482	false	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/r3v-native-reingest-rendered-rs482	r3v-native-reingest-rendered-rs482	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/radeon-unified-0.8.11-dkms-reboot-attestation-rs482	radeon-unified-0.8.11-dkms-reboot-attestation-rs482	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/rs482-first-draw-color-write-gate-discrimination	rs482-first-draw-color-write-gate-discrimination	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/rs482-gtt-allocator-path-attribution-20260823	rs482-gtt-allocator-path-attribution-20260823	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/rs482-paired-status-observer-debut-float2-tuple	rs482-paired-status-observer-debut-float2-tuple	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
results/rs482-post-attended-cell-fence-wedge	rs482-post-attended-cell-fence-wedge	rs482	true	retained bundle named before the platform identity resolved to RS485M; the observed part is RS485M and the name is fixed
