cluster_rank	cluster_id	review_route	review_group_count	thread_count	review_path_count	pull_request_count	oldest_thread_created_at	newest_thread_created_at	validation_gates	history_states	path_change_candidates	representative_work_group_id	next_action
1	review-one-change-commit-3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40-787346a4a0be	one-change-commit	2	2	2	2	2026-08-10T12:33:42Z	2026-08-15T22:10:39Z	"[""python-test-black-and-ruff"",""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40""]"	work-terakan-softfp64-lifetime-contract-test-py-def-verify-contract-source-e5c30b962861	compare-the-review-claim-with-the-single-later-commit
2	review-one-change-commit-df19f9f8ce039d894ee7bf5ed0158a873b5720e7-d34fe9465cd2	one-change-commit	2	3	2	2	2026-08-14T01:05:15Z	2026-08-14T22:46:33Z	"[""documentation-symbol-and-link-check"",""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""df19f9f8ce039d894ee7bf5ed0158a873b5720e7""]"	work-r300-r2vb-producer-manifest-check-py-def-validate-outdir-path-bfd931d37bd4	compare-the-review-claim-with-the-single-later-commit
3	review-one-change-commit-cbe9d2597cdfecf75e6cee9653a499a61957f894-d13cc3bd1b76	one-change-commit	2	2	1	1	2026-08-14T02:00:06Z	2026-08-14T02:00:06Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""cbe9d2597cdfecf75e6cee9653a499a61957f894""]"	work-r3v-memory-properties-contract-test-c-original-line-10-48af69cc2b19	compare-the-review-claim-with-the-single-later-commit
4	review-one-change-commit-3bd7c9fc002ee3e0f46ff0f37c8a7a8605ea2a83-a0ec1586b877	one-change-commit	1	2	1	1	2026-08-14T13:57:31Z	2026-08-14T13:58:04Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""3bd7c9fc002ee3e0f46ff0f37c8a7a8605ea2a83""]"	work-r3v-native-producer-arming-runner-check-py-def-main-f7ee8f3da7d5	compare-the-review-claim-with-the-single-later-commit
5	review-one-change-commit-428f6dcbb0e1cd71417e1169c385f9e62f2ac0b7-efaa3066a9dd	one-change-commit	2	2	2	2	2026-08-14T14:16:04Z	2026-08-16T13:16:49Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""428f6dcbb0e1cd71417e1169c385f9e62f2ac0b7""]"	work-r300-r2vb-reingest-manifest-c-original-line-2-97a3387e4ac7	compare-the-review-claim-with-the-single-later-commit
6	review-one-change-commit-1a8033cbeec7650ebd5a0cce7c298aa06d6d67d8-48f0febcc9d5	one-change-commit	1	1	1	1	2026-08-14T22:46:33Z	2026-08-14T22:46:33Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""1a8033cbeec7650ebd5a0cce7c298aa06d6d67d8""]"	work-r300-us-source-read-h-enum-r300-source-read-model-6087a25848e2	compare-the-review-claim-with-the-single-later-commit
7	review-one-change-commit-5b7fbd51140acd73c82e5c8d6ff9b9d50e01509b-a10212ee3552	one-change-commit	1	1	1	1	2026-08-15T23:53:13Z	2026-08-15T23:53:13Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""5b7fbd51140acd73c82e5c8d6ff9b9d50e01509b""]"	work-r300-pm4-builder-c-r300-pm4-reloc-nop-struct-r300-9487ac93309d	compare-the-review-claim-with-the-single-later-commit
8	review-one-change-commit-9ebc57897138fd5c4b6ab087a21452da1caf7a56-50205fc559fb	one-change-commit	1	1	1	1	2026-08-21T00:59:40Z	2026-08-21T00:59:40Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""9ebc57897138fd5c4b6ab087a21452da1caf7a56""]"	work-r3v-native-burst-cell-harness-c-run-burst-leg-vkinstance-aa8bd4a0156f	compare-the-review-claim-with-the-single-later-commit
9	review-one-change-commit-60ae71b6e75360b9cc12dd4b524381da9da7feb4-959dd8f15fa9	one-change-commit	4	4	2	2	2026-08-21T08:31:32Z	2026-08-23T21:06:42Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""60ae71b6e75360b9cc12dd4b524381da9da7feb4""]"	work-r300-cpu-compute-job-c-original-line-39-8e7a32b31e5b	compare-the-review-claim-with-the-single-later-commit
10	review-one-change-commit-367a218ff2b765194bd18d30ab84c41078341404-5d1a49c73ff1	one-change-commit	1	1	1	1	2026-08-22T07:02:40Z	2026-08-22T07:02:40Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""367a218ff2b765194bd18d30ab84c41078341404""]"	work-r300-common-boundary-known-bad-object-c-original-line-8-bea2dbe3e603	compare-the-review-claim-with-the-single-later-commit
11	review-one-change-commit-41d774592cb536a8f74e5247c9a9a855725b397e-36e2eb5e61c9	one-change-commit	1	1	1	1	2026-08-22T21:13:54Z	2026-08-22T21:13:54Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""41d774592cb536a8f74e5247c9a9a855725b397e""]"	work-r300-vertex-job-nir-c-r300-vertex-job-spirv-to-4357e0030c4e	compare-the-review-claim-with-the-single-later-commit
12	review-one-change-commit-79f1a5a2c02c6e6f3b6784b3fe89dd24a230175e-10f159c9596a	one-change-commit	2	2	1	1	2026-08-22T21:28:19Z	2026-08-22T21:28:19Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""79f1a5a2c02c6e6f3b6784b3fe89dd24a230175e""]"	work-r300-r2vb-typed-route-oracle-test-c-original-line-15-69cedd691702	compare-the-review-claim-with-the-single-later-commit
13	review-one-change-commit-8077376b79a29299a39b37c6178b7a064a9abf29-99eda97ff92f	one-change-commit	2	2	2	1	2026-08-22T22:00:13Z	2026-08-22T22:00:14Z	"[""configure-build-and-artifact-check"",""repository-native-focused-check""]"	"[""changed-since-review""]"	"[""8077376b79a29299a39b37c6178b7a064a9abf29""]"	work-meson-options-option-cf4f4737a530	compare-the-review-claim-with-the-single-later-commit
14	review-one-change-commit-0f807535cfda5bf35b33bd8869a80d5480b566e4-30a02baa2ff9	one-change-commit	1	1	1	1	2026-08-22T22:55:48Z	2026-08-22T22:55:48Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""0f807535cfda5bf35b33bd8869a80d5480b566e4""]"	work-r300-retained-route-digests-h-original-line-21-1cc15cd19e5e	compare-the-review-claim-with-the-single-later-commit
15	review-one-change-commit-c9bd4e6bc836fe7d172176dd0c977779537d14d5-6ad598768f88	one-change-commit	1	1	1	1	2026-08-22T23:16:46Z	2026-08-22T23:16:46Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""c9bd4e6bc836fe7d172176dd0c977779537d14d5""]"	work-r300-vertex-stream-h-struct-r300-vertex-stream-7a2a30d0e690	compare-the-review-claim-with-the-single-later-commit
16	review-one-change-commit-01cce6697e2122401327f7dbc7d873adb7b0a897-834193575828	one-change-commit	1	1	1	1	2026-08-23T01:37:46Z	2026-08-23T01:37:46Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""01cce6697e2122401327f7dbc7d873adb7b0a897""]"	work-r3v-native-fetched-gpu-producer-arming-runner-check-py-original-5cbe87912df9	compare-the-review-claim-with-the-single-later-commit
17	review-one-change-commit-ac11072b3279364cb257784f8129c9aa4fa3df39-7ec9d92064ca	one-change-commit	1	1	1	1	2026-08-23T10:26:39Z	2026-08-23T10:26:39Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""ac11072b3279364cb257784f8129c9aa4fa3df39""]"	work-r300-compute-identity-carrier-c-original-line-57-dbbde9690099	compare-the-review-claim-with-the-single-later-commit
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	one-change-commit	7	7	3	2	2026-08-23T10:34:58Z	2026-08-24T19:40:38Z	"[""documentation-symbol-and-link-check"",""python-test-black-and-ruff"",""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""8e1387b5c97e329dd7b12f9937d691611c40f63e""]"	work-r3v-native-attended-compute-identity-c-original-line-509-453dca74e074	compare-the-review-claim-with-the-single-later-commit
