corpus_rank	thread_id	path_group_id	source_group_id	claim_group_id	work_group_id
1	PRRT_kwDOR3YK5M6CWWKm	path-terakan-draw-c-30429cbb5cb7	source-terakan-draw-c-terakan-cmddraw-vkcommandbuffer-const-commandbuffer-uint3-900f68a6fb22	claim-terakan-draw-c-update-attachment-layer-state-inside-each-multiview-5dc61846dc82	work-terakan-draw-c-terakan-cmddraw-vkcommandbuffer-const-commandbuffer-uint3-900f68a6fb22
2	PRRT_kwDOR3YK5M6ChBF4	path-terakan-nir-lower-abi-c-3913a45c9c93	source-terakan-nir-lower-abi-c-terakan-nir-binding-mutable-resource-93b555541a7e	claim-terakan-nir-lower-abi-c-index-dynamic-robustness-loads-by-da1688ace24c	work-terakan-nir-lower-abi-c-terakan-nir-binding-mutable-resource-93b555541a7e
3	PRRT_kwDOR3YK5M6C_gYg	path-terakan-dmabuf-carrier-c-de1f6b9a2e9e	source-terakan-dmabuf-carrier-c-static-const-struct-terakan-carrier-policy-b84601ff7ee9	claim-terakan-dmabuf-carrier-c-the-carrier-policy-reason-string-claims-d9296ec16780	work-terakan-dmabuf-carrier-c-static-const-struct-terakan-carrier-policy-b84601ff7ee9
4	PRRT_kwDOR3YK5M6LaOsk	path-vl-h264-slice-parser-test-c-b47a9f295c16	source-vl-h264-slice-parser-test-c-original-line-87-43283acd7a1b	claim-vl-h264-slice-parser-test-c-trim-the-next-annex-9b09d7cf1c98	work-vl-h264-slice-parser-test-c-original-line-87-43283acd7a1b
5	PRRT_kwDOR3YK5M6LaOsq	path-vl-h264-slice-parser-c-029a68afaf11	source-vl-h264-slice-parser-c-original-line-201-66c947bbe1e8	claim-vl-h264-slice-parser-c-use-the-va-supplied-active-330b8d3755f4	work-vl-h264-slice-parser-c-original-line-201-66c947bbe1e8
6	PRRT_kwDOR3YK5M6L_w9G	path-vl-h264-cavlc-tables-h-675604af1748	source-vl-h264-cavlc-tables-h-original-line-7-5cb04185aaf6	claim-vl-h264-cavlc-tables-h-keep-cavlc-table-generation-inside-e566dc085f4b	work-vl-h264-cavlc-tables-h-original-line-7-5cb04185aaf6
7	PRRT_kwDOR3YK5M6L_w9U	path-vl-h264-mb-decode-c-1f56ade5002f	source-vl-h264-mb-decode-c-original-line-212-e3e3d014fc2d	claim-vl-h264-mb-decode-c-copy-slice-deblock-controls-into-1d6c98e89203	work-vl-h264-mb-decode-c-original-line-212-e3e3d014fc2d
8	PRRT_kwDOR3YK5M6L_w9Y	path-vl-h264-mb-decode-c-1f56ade5002f	source-vl-h264-mb-decode-c-original-line-212-e3e3d014fc2d	claim-vl-h264-mb-decode-c-mark-native-intra-macroblocks-with-8747ce5b0f45	work-vl-h264-mb-decode-c-original-line-212-e3e3d014fc2d
9	PRRT_kwDOR3YK5M6L_w9c	path-vl-h264-slice-parser-c-029a68afaf11	source-vl-h264-slice-parser-c-original-line-187-97c53e0beb1e	claim-vl-h264-slice-parser-c-reject-field-coded-slices-before-65f86ebd211a	work-vl-h264-slice-parser-c-original-line-187-97c53e0beb1e
10	PRRT_kwDOR3YK5M6X3byR	path-terakan-softfp64-lifetime-contract-test-py-ce8b73f40fab	source-terakan-softfp64-lifetime-contract-test-py-original-line-58-fec8187937aa	claim-terakan-softfp64-lifetime-contract-test-py-verify-that-wsi-failures-d6afb68a4b08	work-terakan-softfp64-lifetime-contract-test-py-original-line-58-fec8187937aa
11	PRRT_kwDOR3YK5M6X3lYa	path-terakan-softfp64-lifetime-contract-test-py-ce8b73f40fab	source-terakan-softfp64-lifetime-contract-test-py-def-verify-contract-source-e5c30b962861	claim-terakan-softfp64-lifetime-contract-test-py-reject-exits-that-precede-42c2ac97d6f3	work-terakan-softfp64-lifetime-contract-test-py-def-verify-contract-source-e5c30b962861
12	PRRT_kwDOR3YK5M6Yb3vf	path-r300-r2vb-c-cac34ca6739e	source-r300-r2vb-c-bool-r300-r2vb-producer-interface-init-gated-849223324227	claim-r300-r2vb-c-add-symbol-discovery-provenance-to-the-psc-4d87b2be9075	work-r300-r2vb-c-bool-r300-r2vb-producer-interface-init-gated-849223324227
13	PRRT_kwDOR3YK5M6YcP8D	path-r3v-native-loader-sweep-c-6d196241247b	source-r3v-native-loader-sweep-c-child-exit-status-int-body-aab625dc6025	claim-r3v-native-loader-sweep-c-retry-waitpid-when-a-signal-39012ad2992a	work-r3v-native-loader-sweep-c-child-exit-status-int-body-aab625dc6025
14	PRRT_kwDOR3YK5M6YckKP	path-run-under-xvfb-sh-eea017156855	source-run-under-xvfb-sh-cleanup-dir-e982551a07c5	claim-run-under-xvfb-sh-terminate-the-wrapped-command-s-descendants-bb5f95045b92	work-run-under-xvfb-sh-cleanup-dir-e982551a07c5
15	PRRT_kwDOR3YK5M6YckKT	path-run-under-xvfb-sh-eea017156855	source-run-under-xvfb-sh-exec-8-237c75aee3c0	claim-run-under-xvfb-sh-preserve-stdin-when-backgrounding-the-command-b3bf1543ee22	work-run-under-xvfb-sh-exec-8-237c75aee3c0
16	PRRT_kwDOR3YK5M6YcmNY	path-r3v-native-entrypoint-audit-py-a00131502f00	source-r3v-native-entrypoint-audit-py-def-populated-slot-1e39abd228f4	claim-r3v-native-entrypoint-audit-py-track-the-pointer-that-guards-cd0aca9952d6	work-r3v-native-entrypoint-audit-py-def-populated-slot-1e39abd228f4
17	PRRT_kwDOR3YK5M6YcmNc	path-meson-build-90733826a0f8	source-meson-build-if-get-option-r3v-native-backend-d69517bd1b58	claim-meson-build-calibrate-the-extra-slot-failure-in-isolation-6adff3daf531	work-meson-build-if-get-option-r3v-native-backend-d69517bd1b58
18	PRRT_kwDOR3YK5M6Yc3Z1	path-r3v-native-cell-c-682ac189865c	source-r3v-native-cell-c-record-triangle-cell-tail-struct-r3v-c74bba439f15	claim-r3v-native-cell-c-detect-aliases-of-the-same-gem-af5fb75a1847	work-r3v-native-cell-c-record-triangle-cell-tail-struct-r3v-c74bba439f15
19	PRRT_kwDOR3YK5M6Yc3Z4	path-r3v-native-cell-c-682ac189865c	source-r3v-native-cell-c-r3v-native-cmd-buffer-execute-deferred-558fd7da81a3	claim-r3v-native-cell-c-remove-the-internal-source-path-from-f41dfd5e9666	work-r3v-native-cell-c-r3v-native-cmd-buffer-execute-deferred-558fd7da81a3
20	PRRT_kwDOR3YK5M6Yc3Z7	path-r3v-native-vertex-carrier-harness-c-78a0596fd057	source-r3v-native-vertex-carrier-harness-c-main-void-f81d93989ed9	claim-r3v-native-vertex-carrier-harness-c-bind-the-byte-fixture-e582c151856b	work-r3v-native-vertex-carrier-harness-c-main-void-f81d93989ed9
21	PRRT_kwDOR3YK5M6Yc3Z9	path-r3v-native-vertex-carrier-harness-c-78a0596fd057	source-r3v-native-vertex-carrier-harness-c-main-void-f81d93989ed9	claim-r3v-native-vertex-carrier-harness-c-attach-a-discovery-source-fdc664fd4498	work-r3v-native-vertex-carrier-harness-c-main-void-f81d93989ed9
