batch_rank	thread_id	pr_number	pr_title	pr_created_at	pr_merged_at	thread_created_at	is_outdated	review_path	line	original_line	review_authors	comment_count	first_comment_url	first_comment_sha256
1	PRRT_kwDOR3YK5M6Tw9uC	1194	separate a forge-appended subject suffix from an author one	2026-07-25T15:55:42Z	2026-07-25T15:55:44Z	2026-07-25T15:59:22Z	false	AGENTS.md	653	653	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1194#discussion_r3650469340	aa44734950e8064d02a6f944d979904750e70c6f190d452bd8dce6c217ffa642
2	PRRT_kwDOR3YK5M6Tw9uE	1194	separate a forge-appended subject suffix from an author one	2026-07-25T15:55:42Z	2026-07-25T15:55:44Z	2026-07-25T15:59:22Z	false	AGENTS.md	653	653	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1194#discussion_r3650469342	841e847d2119800a669ac7f23e2fb4cec06da70c33c9b8cfed3bfbb241e2c05b
3	PRRT_kwDOR3YK5M6Tw9uF	1194	separate a forge-appended subject suffix from an author one	2026-07-25T15:55:42Z	2026-07-25T15:55:44Z	2026-07-25T15:59:23Z	false	AGENTS.md	653	653	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1194#discussion_r3650469344	efc1a2297739641dfc945a5be890e74e579c50ecc665f353edc73721bf24bb97
4	PRRT_kwDOR3YK5M6TxVhn	1196	docs: name the R3V Vulkan driver root beside Terakan	2026-07-25T17:05:24Z	2026-07-25T17:06:47Z	2026-07-25T17:07:35Z	false	AGENTS.md	1058	1058	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1196#discussion_r3650605592	6440069b5b68d40d980dc2506ef224c9a761444647125b5b43253e1e2220ffb3
5	PRRT_kwDOR3YK5M6TxcMU	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	17	17	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643173	3929c8f481bf40dbb31a2c2f8e723886af22a9c500cb84f6b8b4a84e2e9c0e9e
6	PRRT_kwDOR3YK5M6TxcMY	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	31	31	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643177	02662cc28b6e0e72ada62c5abd2320e7ac1792316c7493a5cd858f6f8195a8e8
7	PRRT_kwDOR3YK5M6TxcMa	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	51	51	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643179	ae2be208d8b4ff19ba394618a8c454758f3a02389e81f31162819518fccc6b50
8	PRRT_kwDOR3YK5M6TxcMe	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:14Z	false	headless-hardware-gl-runner.md	26	26	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643184	c74a2faccfa3c1d04a9612b4013ab9908dbd3e608fa714575d393374078d05d9
9	PRRT_kwDOR3YK5M6TxcMh	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:15Z	false	headless-hardware-gl-runner.md	57	57	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643187	b35ce920a28d2cbff5748a064636f9e9c7f4637a04ca6fc2e63c46da768fd92d
10	PRRT_kwDOR3YK5M6TxcMj	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:15Z	false	AGENTS.md	779	779	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643189	bbfcebdcc7886c05d494527a6a856cddd56dac93c6ad0f65bc7635310ce7b082
11	PRRT_kwDOR3YK5M6TxcMn	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:15Z	false	headless-hardware-gl-runner.md	21	21	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643192	76629b2dada7e40074c3e8b3767388155551fdd5aa4869caf8475bd1d554cccf
12	PRRT_kwDOR3YK5M6TxcMq	1198	docs: add the headless hardware-GL runner and state the text rule as emoji-free	2026-07-25T17:24:13Z	2026-07-25T17:25:14Z	2026-07-25T17:32:15Z	false	headless-hardware-gl-runner.md	17	17	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1198#discussion_r3650643195	ae91a8f8e23626489f387b81a84957bc9d962d92575313aa50fb1bc3a944ee90
