# schema=r3v-gallium-ownership-disposition/v1
kind	path	symbol	disposition	future_owner	basis	reason
FILE	src/amd/r300/vulkan/r3v_buffer.c	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_buffer.h	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_cmd_buffer.c	-	DELETE	-	-	FAKE_VULKAN_COMMAND_LIFETIME
FILE	src/amd/r300/vulkan/r3v_cmd_buffer.h	-	DELETE	-	-	FAKE_VULKAN_COMMAND_LIFETIME
FILE	src/amd/r300/vulkan/r3v_descriptor.c	-	DELETE	-	-	FAKE_VULKAN_DESCRIPTOR_LIFETIME
FILE	src/amd/r300/vulkan/r3v_descriptor.h	-	DELETE	-	-	FAKE_VULKAN_DESCRIPTOR_LIFETIME
FILE	src/amd/r300/vulkan/r3v_device.c	-	DELETE	-	-	FAKE_VULKAN_DEVICE_OVER_GALLIUM
FILE	src/amd/r300/vulkan/r3v_device.h	-	DELETE	-	-	FAKE_VULKAN_DEVICE_OVER_GALLIUM
FILE	src/amd/r300/vulkan/r3v_dp4_fs_nir.c	-	DELETE	-	-	DORMANT_NIR_NO_R300G_CALLER
FILE	src/amd/r300/vulkan/r3v_dp4_fs_nir.h	-	DELETE	-	-	DORMANT_NIR_NO_R300G_CALLER
FILE	src/amd/r300/vulkan/r3v_framebuffer.c	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_framebuffer.h	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_identity_map.c	-	DELETE	-	-	MIXED_VULKAN_LIFETIME_GALLIUM_REPLAY
FILE	src/amd/r300/vulkan/r3v_identity_map.h	-	DELETE	-	-	MIXED_VULKAN_LIFETIME_GALLIUM_REPLAY
FILE	src/amd/r300/vulkan/r3v_image.c	-	DELETE	-	-	FAKE_VULKAN_IMAGE_OVER_GALLIUM
FILE	src/amd/r300/vulkan/r3v_image.h	-	DELETE	-	-	FAKE_VULKAN_IMAGE_OVER_GALLIUM
FILE	src/amd/r300/vulkan/r3v_memory.c	-	DELETE	-	-	FAKE_VULKAN_MEMORY_OVER_GALLIUM
FILE	src/amd/r300/vulkan/r3v_memory.h	-	DELETE	-	-	FAKE_VULKAN_MEMORY_OVER_GALLIUM
FILE	src/amd/r300/vulkan/r3v_object.c	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_object.h	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_pipeline.c	-	DELETE	-	-	FAKE_VULKAN_PIPELINE_NIR_TGSI
FILE	src/amd/r300/vulkan/r3v_pipeline.h	-	DELETE	-	-	FAKE_VULKAN_PIPELINE_LIFETIME
FILE	src/amd/r300/vulkan/r3v_queue.c	-	DELETE	-	-	FAKE_VULKAN_SUBMISSION_OVER_GALLIUM
FILE	src/amd/r300/vulkan/r3v_queue_map_range.h	-	DELETE	-	-	GALLIUM_MAP_POLICY_NO_NATIVE_OWNER
FILE	src/amd/r300/vulkan/r3v_render_pass.c	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_render_pass.h	-	DELETE	-	-	FAKE_VULKAN_OBJECT_LIFETIME
FILE	src/amd/r300/vulkan/r3v_resource_state.h	-	DELETE	-	-	FAKE_GALLIUM_RESOURCE_STATE
FILE	src/amd/r300/vulkan/r3v_shader_module.c	-	DELETE	-	-	FAKE_VULKAN_SHADER_LIFETIME
FILE	src/amd/r300/vulkan/r3v_shader_module.h	-	DELETE	-	-	FAKE_VULKAN_SHADER_LIFETIME
FILE	src/amd/r300/vulkan/r3v_submit_lifetime.h	-	DELETE	-	-	FAKE_QUEUE_HELPER_WITH_NO_NATIVE_CALLER
FILE	src/amd/r300/vulkan/r3v_ubo_binding.h	-	DELETE	-	-	FAKE_DESCRIPTOR_BINDING_POLICY
FILE	src/amd/r300/vulkan/tests/r3v_dp4_fs_nir_test.c	-	DELETE	-	-	DORMANT_BUILDER_TEST_NO_R300G_CALLER
FILE	src/amd/r300/vulkan/tests/r3v_queue_map_range_test.c	-	DELETE	-	-	FAKE_GALLIUM_MAP_POLICY_TEST
FILE	src/amd/r300/vulkan/tests/r3v_r2vb_producer_census.c	-	KEEP_FIXTURE	src/gallium/drivers/r300/tests/r300_r2vb_producer_census.c	src/gallium/drivers/r300/r300_r2vb_plan.c::r300_r2vb_plan_producer	PRESERVE_R300G_PLANNER_CENSUS
FILE	src/amd/r300/vulkan/tests/r3v_r2vb_typed_route_oracle_test.c	-	KEEP_FIXTURE	src/gallium/drivers/r300/tests/r300_r2vb_typed_route_oracle_test.c	src/gallium/drivers/r300/r300_r2vb_plan.c::r300_r2vb_plan_producer	PRESERVE_R300G_TYPED_ROUTE_ORACLE
FILE	src/amd/r300/vulkan/tests/r3v_render_pass_feedback_test.c	-	DELETE	-	-	FAKE_RENDER_PASS_IMPLEMENTATION_TEST
FILE	src/amd/r300/vulkan/tests/r3v_static_offset_test.c	-	DELETE	-	-	FAKE_VULKAN_TO_NIR_TEST
FILE	src/amd/r300/vulkan/tests/typed_carry_corpus/r3v_typed_carry_spirv.h	-	KEEP_FIXTURE	src/gallium/drivers/r300/tests/typed_carry_corpus/r300_typed_carry_reference.h	src/gallium/drivers/r300/r300_r2vb_plan.c::r300_r2vb_plan_producer	PRESERVE_R300G_TYPED_CARRY_REFERENCE
FILE	src/gallium/drivers/r300/r300_compute_admission.c	-	DELETE	-	-	DORMANT_NIR_NO_R300G_CALLER
FILE	src/gallium/drivers/r300/r300_compute_admission.h	-	DELETE	-	-	DORMANT_NIR_NO_R300G_CALLER
FILE	src/gallium/drivers/r300/r300_compute_admission_match.h	-	DELETE	-	-	DORMANT_NIR_MATCHER_NO_R300G_CALLER
FILE	src/gallium/drivers/r300/tests/r300_nir_compute_admission_test.c	-	DELETE	-	-	CLASSIFIER_ONLY_TEST_NO_COMPUTE_SURFACE
FUNCTION	src/amd/r300/vulkan/r3v_dp4_fs_nir.c	r3v_build_dp4_fs_nir	DELETE	-	-	FAKE_PIPELINE_BUILDER_NO_R300G_CALLER
FUNCTION	src/amd/r300/vulkan/r3v_identity_map.c	r3v_identity_map_dispatch_replay	DELETE	-	-	VULKAN_DESCRIPTOR_TO_GALLIUM_REPLAY
FUNCTION	src/amd/r300/vulkan/r3v_image.c	r3v_split_image_axis	DELETE	-	-	VULKAN_4096_PRODUCT_POLICY
FUNCTION	src/amd/r300/vulkan/r3v_pipeline.c	r3v_prepare_shader_nir	DELETE	-	-	VULKAN_SPIRV_TO_NIR_FRONTEND
FUNCTION	src/amd/r300/vulkan/r3v_queue.c	r3v_replay_dispatch	DELETE	-	-	FAKE_VULKAN_QUEUE_DISPATCH
FUNCTION	src/gallium/drivers/r300/r300_compute_admission.c	r300_nir_classify_compute	DELETE	-	-	NO_R300G_COMPUTE_CALLBACK
